LU_Name,DWR_CAML_Code,LUdrivenNsourcetype_Dairy,LUdrivenNsourcetype_WWTP_Biosolids,LUdrivenNsourcetype_FP,CropGroup_LanduseGroup,
(Unknown referent),2161,0,0,0,No data,
Airport runways,2156,0,0,0,Barren,
Alfalfa,1601,2,1,1,"Alfalfa, Clover",
Alkali Desert Scrub,4,0,0,0,Shrub/Forest,
Almonds,412,2,0,1,Nuts,
Annual Grassland,3,0,0,0,Native Pasture,
Apricots,402,2,0,1,Tree Fruit,
Artichokes,2001,2,0,1,Vegetables and Berries,
Asparagus,2002,2,0,1,Vegetables and Berries,
Aspen,5,0,0,0,Shrub/Forest,
Avocados,305,2,0,1,Subtropical,
Barley,701,1,1,1,Grain and Hay,
Barren,6,0,0,0,Barren,
Barren and Wasteland,1410,0,0,0,Barren,
Barren Land,1413,0,0,0,Barren,
Beans (dry),610,2,0,1,Field Crops,
Beans (green),2003,2,0,1,Vegetables and Berries,
Bitterbrush,7,0,0,0,Shrub/Forest,
Blue Oak Woodland,9,0,0,0,Shrub/Forest,
Blue Oak-Foothill Pine,8,0,0,0,Shrub/Forest,
Brackish water,1465,0,0,0,Water,
Broccoli,2022,2,0,1,Vegetables and Berries,
Brush and Timber,1455,0,0,0,Shrub/Forest,
Brussels Sprouts,2025,2,0,1,Vegetables and Berries,
Bush berries,2019,2,0,1,Vegetables and Berries,
Cabbage,2023,2,0,1,Vegetables and Berries,
Carrots,2006,2,0,1,Vegetables and Berries,
Cauliflower,2024,2,0,1,Vegetables and Berries,
Celery,2007,2,0,1,Vegetables and Berries,
Cemeteries - irrigated,2134,0,1,1,Urban,
Cemeteries - non-irrigated,2135,0,0,0,Urban,
Chamise-Redshank Chaparral,12,0,0,0,Shrub/Forest,
Cherries,403,2,0,1,Tree Fruit,
Citrus and Subtropical (Also Miscellaneous subtropical and jojoba),300,2,0,1,Subtropical,
Closed-Cone Pine-Cypress,11,0,0,0,Shrub/Forest,
Clover,1602,2,1,1,"Alfalfa, Clover",
Coastal Oak Woodland,10,0,0,0,Shrub/Forest,
Coastal Scrub,13,0,0,0,Shrub/Forest,
Commercial,2110,0,0,0,Industrial,
Corn (Field and Sweet),606,1,1,1,"Corn, Sorghum, Sudan",
Cotton,601,1,1,1,Cotton,
Dairy farm,1903,0,0,0,Farm,
Dates,304,0,0,1,Subtropical,
Deciduous Fruits and Nuts,400,2,0,1,Tree Fruit,
Desert Riparian,15,0,0,0,Riparian,
Desert Scrub,17,0,0,0,Shrub/Forest,
Desert Succulent Shrub,18,0,0,0,Shrub/Forest,
Desert Wash,19,0,0,0,Water,
DirectAppCode = 1 (urban),10001,0,0,0,Urban (DirAppCode 1),
DirectAppCode = 2 (lagoon),10002,0,0,0,Lagoons (DirAppCode 2),
DirectAppCode = 3 (corrals),10003,0,0,0,Corrals (DirAppCode 3),
DirectAppCode = 5 (golf courses),10005,0,0,0,Golf Courses (DirAppCode 5),
DirectAppCode = 65xx (FP percolation basins),16500,0,0,0,FP Percolation Basins (DirAppCode 65xx),
DirectAppCode = 6xxx (WWTP percolation basins),16000,0,0,0,WWTP Percolation Basins (DirAppCode 6xxx),
Douglas-Fir,14,0,0,0,Shrub/Forest,
Dry stream channels,1411,0,0,0,Barren,
Eastside Pine,20,0,0,0,Shrub/Forest,
Estuarine,21,0,0,0,Water,
Eucalyptus,77,0,1,1,Shrub/Forest,
Eucalyptus,310,0,0,1,Shrub/Forest,
Extractive Industries,2122,0,0,0,Industrial,
Farmstead (with residence),1901,0,0,0,Farm,
Farmstead (without residence),1905,0,0,0,Farm,
"Field Crops (includes Flax, Hops, Castor Beans, Miscellaneous Field, and Millet)",600,1,1,1,Field Crops,
Figs,409,2,0,1,Tree Fruit,
"Flowers, nursery, Christmas tree farms",2016,0,0,1,Vegetables and Berries,
Forest,1456,0,0,0,Shrub/Forest,
Freshwater Emergent Wetland,22,0,0,0,Riparian,
"Freshwater lake, reservoir",1464,0,0,0,Water,
Fruit and Vegetable cannery,212911,0,0,0,Industrial,
Golf course,2132,0,1,1,Urban,
Grain and Hay (includes miscellaneous),700,1,1,1,Grain and Hay,
Grain sorghum,607,1,1,1,"Corn, Sorghum, Sudan",
Grapefruit,301,2,0,1,Subtropical,
Grassland,1451,0,0,0,Native Pasture and Grassland,
Greenhouse,2027,0,0,1,Industrial,
Heavy Brush,1454,0,0,0,Shrub/Forest,
Hotels,2112,0,0,0,Urban,
Idle â€“ Cropped Past 3 Years,901,0,0,1,Barren,
Idle â€“ New Lands,902,0,0,1,Barren,
